FQ,lab1,lab2,non1,non2
Q6P9K8,83297,82300.32871,77833.09169,75200.67291
Q9EPJ9,41453,43698.00681,38625.96827,39129.78858
Q9CRB6,39264,33984.50681,33189.69193,34959.90004
Q63912,16053,18614.62135,13474.72044,17151.09172
P60761,51760,98387.01886,47736.813,75146.73318
Q9R111,106750,92633.46655,97588.45737,90296.8352
F8WI35,53357,112245.2429,50942.28754,82762.67398
P62806,94031,229058.921,76175.6268,173503.2069
Z4YLR9,13137,14317.1383,12219.50351,12721.94451
F6SH61,8976,8970.093891,8277.160735,8260.34648
A0A1W2P799,52464,50913.84069,47937.48092,47684.45455
Q3UGX2,14427,17633.39538,13193.26414,15258.85146
P17182,1275300,1109661.447,1128405.222,1108287.295
Q3TMU8,80026,72503.99795,74290.13019,68941.05513
Q4VGL6,1806.8,1756.80865,1706.198524,1608.273721
Q9CPQ1,88414,88749.97803,80886.11074,82097.9974
E9Q3M9,21501,28508.11897,20447.27909,23557.73874
P63101,962530,925649.7188,850310.7599,890179.4178
P56480,579300,558502.3565,529111.7862,525007.4975
Q68ED2,13648,19514.60946,13606.32732,15384.13081
P62484,19009,25867.09192,17970.20303,21306.19033
Q99LF4,26951,27590.60897,26510.31692,24147.5957
Q91VD9,294800,287948.4085,271553.2095,268350.1187
Q61941,21876,22956.86487,18572.20679,21916.05719
D3Z7P4,130290,116896.5089,117134.0339,114439.2109
P80315,55528,56630.75631,51460.89684,51793.44339
D3YUK4,83610,77319.33257,74976.83144,74945.76422
D3Z2H9,122210,98445.95613,113265.3128,98448.69324
P47746,31263,24325.16538,31130.89121,23240.19037
Q6P1J1,223940,194158.497,202713.689,191842.7125
P02802,137540,76704.47343,131202.9398,88087.04657
P97384,28862,28571.83495,26552.01415,26562.70327
Q3V2Y9,16190,17548.97171,14508.02991,16070.55728
O55057,7250.5,8097.503649,6979.985975,7016.861881
Q9CQJ8,58866,59450.18809,53716.45637,55239.49566
Q9QYB5,16589,17209.68416,15357.61097,15692.97922
P63216,22623,26177.70728,20150.18633,23542.94881
A0A1B0GSA1,18408,17029.68654,16432.61768,16597.77456
Q9DCR2,40210,39569.21179,36574.98578,37221.01841
P35438,58948,74980.95638,56675.65665,62644.89754
A2A5R2,2717.5,2771.166932,2469.127527,2576.143739
P61161,150500,152571.0818,142591.4957,138233.5884
P35486,185070,176620.6756,171727.4351,165890.7461
Q99KY4,14665,17582.4226,14114.51231,14943.04308
A0A1Y7VNT1,9177.6,8270.811094,8993.571266,7619.594778
Q3TXX4,128250,121893.434,114124.0151,117953.9928
O88745,14128,11807.68472,12327.78601,12205.16717
A0A0G2JGQ5,7692.7,7541.900369,6851.506385,7215.742857
Q9CPU0,34482,40567.95966,29816.12543,36978.28966
F6RQR3,10392,13176.30381,9674.017935,11251.65208
E0CZD7,29197,27993.6125,28300.69173,25487.3888
Q6PDG5,13986,14164.37926,12183.80026,13577.15011
Q8C7M3,8439.3,12996.30619,6428.409806,11464.80099
P40124,109740,100166.2874,102278.0927,95595.10793
P62627,23568,22840.58322,20762.61439,22126.5961
Q8CAD1,14297,15756.64141,13468.20525,13974.73807
O55042,309530,304562.3483,286056.0272,284479.8356
Q8BWG8,58373,55517.31969,53588.7586,52744.3485
Q8BW75,31002,33959.02042,28311.11604,30782.18155
P26883,101800,108444.5851,89090.04071,101876.4756
Q8VD62,9606.4,9388.070671,9033.835153,8694.822244
A2AH27,8656.3,10033.99134,7632.287015,9116.683072
Q8BKZ9,106370,93514.33987,90946.87048,96178.00493
A0A087WQE6,55265,52803.01927,51479.13938,49681.96426
P00761,23052,22697.22229,21398.49715,21174.821
Q9D164,16437,16053.23926,16149.85834,14427.13574
A2AUK8,164130,151710.9162,152142.7675,145036.9534
D3Z786,24313,27313.44449,22766.6875,24229.37528
E9PZ00,106500,104449.5936,91439.41901,102607.2718
D6RGM3,16894,18022.06281,16525.13341,15796.50869
Q91WS0,77866,68800.50705,75164.46898,64959.08562
O35857,23799,21700.06732,23283.99376,20053.39678
P58389,91864,89395.10225,83963.88752,84721.9039
F7CTF8,13251,14769.84028,12475.42026,13098.65258
E9Q7A8,26946,27064.9522,24921.91307,25168.10045
Q9CR00,27556,27190.79124,25766.28198,25262.92996
A0A1B0GSQ6,23395,22214.57379,22095.62271,20795.50296
